Model,Group,TN,FP,FN,TP,False Positive Rate,False Negative Rate,True Positive Rate,True Negative Rate,Selection Rate
Logistic Regression,African-American,435,88,223,143,0.1682600382409178,0.6092896174863388,0.3907103825136612,0.8317399617590823,0.25984251968503935
Logistic Regression,Caucasian,347,21,169,28,0.057065217391304345,0.8578680203045685,0.14213197969543148,0.9429347826086957,0.08672566371681416
Decision Tree,African-American,435,88,226,140,0.1682600382409178,0.6174863387978142,0.3825136612021858,0.8317399617590823,0.25646794150731156
Decision Tree,Caucasian,336,32,160,37,0.08695652173913043,0.8121827411167513,0.18781725888324874,0.9130434782608695,0.12212389380530973
Random Forest,African-American,407,116,208,158,0.22179732313575526,0.5683060109289617,0.43169398907103823,0.7782026768642447,0.30821147356580425
Random Forest,Caucasian,340,28,167,30,0.07608695652173914,0.8477157360406091,0.15228426395939088,0.9239130434782609,0.10265486725663717
Gradient Boosting,African-American,404,119,199,167,0.22753346080305928,0.5437158469945356,0.4562841530054645,0.7724665391969407,0.3217097862767154
Gradient Boosting,Caucasian,339,29,162,35,0.07880434782608696,0.8223350253807107,0.17766497461928935,0.9211956521739131,0.11327433628318584
Support Vector Machine,African-American,422,101,235,131,0.1931166347992352,0.6420765027322405,0.35792349726775957,0.8068833652007649,0.2609673790776153
Support Vector Machine,Caucasian,344,24,172,25,0.06521739130434782,0.8730964467005076,0.12690355329949238,0.9347826086956522,0.08672566371681416
